StartTime;EndTime;HoldTime;HoldTimeNormalized;Key;OnCircleHitWindow;IsHit;HitError;PosX;PosY
51375;51661;286;81;K2;false;true;-5.000;205.33;251.56
51708;52254;546;154;K1;false;true;-27.000;42.22;293.78
52254;52456;202;57;K2;true;true;-13.000;78.22;89.78
52470;52775;305;86;K1;false;true;25.000;178.22;97.78
52810;52897;87;25;K2;true;true;10.000;283.11;17.78
52944;53180;236;66;K1;true;true;-33.000;286.67;19.11
53144;53452;308;87;K2;false;true;-11.000;350.67;88.89
53487;53819;332;94;K1;false;true;-23.000;256.89;213.78
53844;53959;115;32;K2;true;true;-21.000;327.56;375.56
54035;54283;248;70;K1;true;true;-8.000;329.78;377.33
54240;54559;319;90;K2;false;true;20.000;395.11;300.00
54576;55098;522;147;K1;false;true;1.000;518.67;181.78
55106;55296;190;54;K2;true;true;-2.000;434.22;-0.44
55291;55612;321;90;K1;false;true;6.000;350.22;83.11
55648;55742;94;26;K2;true;true;8.000;214.22;144.89
55784;56024;240;68;K1;true;true;-34.000;216.89;146.67
55978;56229;251;71;K2;false;true;-17.000;286.67;210.22
56361;56496;135;38;K2;true;true;11.000;224.89;361.33
56515;56764;249;70;K1;true;true;-13.000;205.33;356.89
56722;56899;177;50;K2;false;true;17.000;103.11;316.44
57029;57191;162;46;K1;true;true;-31.000;-8.44;224.44
57226;57361;135;38;K2;true;true;-12.000;97.33;147.11
57398;57548;150;42;K1;true;true;-17.000;50.67;55.11
